Year,timeseries,mode of transport,Value
2010,passenger transport (mn pkm),,1117240
2011,passenger transport (mn pkm),,1131004
2012,passenger transport (mn pkm),,1135558
2013,passenger transport (mn pkm),,1144212
2014,passenger transport (mn pkm),,1162858
2015,passenger transport (mn pkm),,1180505
2016,passenger transport (mn pkm),,1204690
2010,passenger transport (mn pkm),road transport,78092
2011,passenger transport (mn pkm),road transport,77957
2012,passenger transport (mn pkm),road transport,76019
2013,passenger transport (mn pkm),road transport,76885
2014,passenger transport (mn pkm),road transport,78786
2015,passenger transport (mn pkm),road transport,81771
2016,passenger transport (mn pkm),road transport,81094
2010,passenger transport (mn pkm),rail transport,83886
2011,passenger transport (mn pkm),rail transport,85414
2012,passenger transport (mn pkm),rail transport,88796
2013,passenger transport (mn pkm),rail transport,89613
2014,passenger transport (mn pkm),rail transport,90976
2015,passenger transport (mn pkm),rail transport,91709
2016,passenger transport (mn pkm),rail transport,94197
2010,passenger transport (mn pkm),commercial air transport,52822
2011,passenger transport (mn pkm),commercial air transport,55216
2012,passenger transport (mn pkm),commercial air transport,56180
2013,passenger transport (mn pkm),commercial air transport,56294
2014,passenger transport (mn pkm),commercial air transport,58136
2015,passenger transport (mn pkm),commercial air transport,61295
2016,passenger transport (mn pkm),commercial air transport,63939
2017,passenger transport (mn pkm),commercial air transport,67523
2010,passenger transport (mn pkm),motorised private transport,902440
2011,passenger transport (mn pkm),motorised private transport,912417
2012,passenger transport (mn pkm),motorised private transport,914563
2013,passenger transport (mn pkm),motorised private transport,921420
2014,passenger transport (mn pkm),motorised private transport,934960
2015,passenger transport (mn pkm),motorised private transport,945730
2016,passenger transport (mn pkm),motorised private transport,965460
2010,freight transport (mn tkm),,627857
2011,freight transport (mn tkm),,627966
2012,freight transport (mn tkm),,618911
2013,freight transport (mn tkm),,636011
2014,freight transport (mn tkm),,643567
2015,freight transport (mn tkm),,651928
2016,freight transport (mn tkm),,666923
2010,freight transport (mn tkm),road transport,440600
2011,freight transport (mn tkm),road transport,442635
2012,freight transport (mn tkm),road transport,431999
2013,freight transport (mn tkm),road transport,443681
2014,freight transport (mn tkm),road transport,452939
2015,freight transport (mn tkm),road transport,460200
2016,freight transport (mn tkm),road transport,464000
2010,freight transport (mn tkm),rail transport,107292
2011,freight transport (mn tkm),rail transport,113201
2012,freight transport (mn tkm),rail transport,110797
2013,freight transport (mn tkm),rail transport,112670
2014,freight transport (mn tkm),rail transport,112553
2015,freight transport (mn tkm),rail transport,117252
2016,freight transport (mn tkm),rail transport,128296
2017,freight transport (mn tkm),rail transport,129361
2010,freight transport (mn tkm),inland waterway transport,62278
2011,freight transport (mn tkm),inland waterway transport,55027
2012,freight transport (mn tkm),inland waterway transport,58488
2013,freight transport (mn tkm),inland waterway transport,60070
2014,freight transport (mn tkm),inland waterway transport,59093
2015,freight transport (mn tkm),inland waterway transport,55315
2016,freight transport (mn tkm),inland waterway transport,54347
2017,freight transport (mn tkm),inland waterway transport,55518
2018,freight transport (mn tkm),inland waterway transport,46900
2010,freight transport (mn tkm),commercial air transport,1428
2011,freight transport (mn tkm),commercial air transport,1480
2012,freight transport (mn tkm),commercial air transport,1420
2013,freight transport (mn tkm),commercial air transport,1410
2014,freight transport (mn tkm),commercial air transport,1441
2015,freight transport (mn tkm),commercial air transport,1447
2016,freight transport (mn tkm),commercial air transport,1519
2017,freight transport (mn tkm),commercial air transport,1617
2010,freight transport (mn tkm),transport via pipeline: crude oil,16259
2011,freight transport (mn tkm),transport via pipeline: crude oil,15623
2012,freight transport (mn tkm),transport via pipeline: crude oil,16207
2013,freight transport (mn tkm),transport via pipeline: crude oil,18180
2014,freight transport (mn tkm),transport via pipeline: crude oil,17541
2015,freight transport (mn tkm),transport via pipeline: crude oil,17714
2016,freight transport (mn tkm),transport via pipeline: crude oil,18761
2017,freight transport (mn tkm),transport via pipeline: crude oil,18239
2018,freight transport (mn tkm),transport via pipeline: crude oil,17225
